12190,-780,100 2

9750,-160,100 0

7310,460,100 0

4870,1080,100 0

2430,1700,100 0

0,2310,100 4

80,2390,100 0

160,2470,100 0

240,2550,100 0

320,2630,100 0

390,2710,100 3

2750,2010,100 0

5110,1310,100 0

7470,610,100 0

9830,-90,100 0

12190,-780,100 2

8700,-90,100 0

5210,600,100 0

1720,1290,100 0

-1770,1980,100 0

-5240,2660,100 3

-7060,3100,100 0

-8880,3540,100 0

-10700,3980,100 0

-12520,4420,100 0

-14350,4870,100 1

-11480,4230,100 0

-8610,3590,100 0

-5740,2950,100 0

-2870,2310,100 0

0,1690,100 4

-140,1580,100 0

-280,1470,100 0

-420,1360,100 0

-560,1250,100 0

-720,1130,100 3

12180,860,100 2

9740,470,100 0

7300,80,100 0

4860,-310,100 0

2420,-700,100 0

0,-1080,100 4

-1190,-1550,100 0

-2380,-2020,100 0

-3570,-2490,100 0

-4760,-2960,100 0

-5930,-3420,100 3

-2310,-2560,100 0

1310,-1700,100 0

4930,-840,100 0

8550,20,100 0

12180,860,100 2

9740,270,100 0

7300,-320,100 0

4860,-910,100 0

2420,-1500,100 0

0,-2080,100 4

40,-2110,100 0

80,-2140,100 0

120,-2170,100 0

160,-2200,100 0

200,-2210,100 3

2600,-1600,100 0

5000,-990,100 0

7400,-380,100 0

9800,230,100 0

12180,860,100 2

8840,430,100 0

5500,0,100 0

2160,-430,100 0

-1180,-860,100 0

-4520,-1300,100 3

-5920,-1430,100 0

-7320,-1560,100 0

-8720,-1690,100 0

-10120,-1820,100 0

-11510,-1930,100 1

-7140,-1910,100 0

-2770,-1890,100 0

1600,-1870,100 0

5970,-1850,100 0

10340,-1840,100 3

10730,-1830,100 0

11120,-1820,100 0

11510,-1810,100 0

11900,-1800,100 0

12270,-1770,100 1

7690,-1980,100 0

3110,-2190,100 0

-1470,-2400,100 0

-6050,-2610,100 0

-10650,-2820,100 3

-11160,-2920,100 0

-11670,-3020,100 0

-12180,-3120,100 0

-12690,-3220,100 0

-13220,-3330,100 1

-9370,-2340,100 0

-5520,-1350,100 0

-1670,-360,100 0

2180,630,100 0

6040,1620,100 3

7250,1860,100 0

8460,2100,100 0

9670,2340,100 0

10880,2580,100 0

12080,2810,100 1

7860,2660,100 0

3640,2510,100 0

-580,2360,100 0

-4800,2210,100 0

-9020,2040,100 3

-9540,2160,100 0

-10060,2280,100 0

-10580,2400,100 0

-11100,2520,100 0

-11600,2660,100 1

-7870,2410,100 0

-4140,2160,100 0

-410,1910,100 0

3320,1660,100 0

7030,1430,100 3

7890,1370,100 0

8750,1310,100 0

9610,1250,100 0

10470,1190,100 0

11340,1120,100 1

6402,1460,100 0

1480,1800,100 0

-3450,2140,100 0

-8380,2480,100 0

-13290,2830,100 3

12100,-840,100 2

9680,-620,100 0

